Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
4/3/2023,4/3/2023,4/5/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.034148,$146.42 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.012213,$409.39 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.004564,$438.21 ,($2.00),
4/3/2023,4/3/2023,4/5/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.097125,$102.96 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.035159,$284.42 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.030391,$164.52 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.076858,$130.11 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.013303,$375.85 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.016178,$123.62 ,($2.00),
4/3/2023,4/3/2023,4/5/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.008573,$349.90 ,($3.00),
4/3/2023,4/3/2023,4/5/2023,TSLA,"Tesla
CUSIP: 88160R101
order batcher",Buy,0.051717,$193.36 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.175685,$28.46 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.000556,$125.80 ,($0.07),
4/3/2023,4/3/2023,4/5/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.006927,$28.87 ,($0.20),
4/3/2023,4/3/2023,4/3/2023,,ACH Deposit,ACH,,,$250.00 ,
3/31/2023,3/31/2023,3/31/2023,BAC,Cash Div: R/D 2023-03-03 P/D 2023-03-31 - 0.888982 shares at 0.22,CDIV,,,$0.20 ,
3/31/2023,3/31/2023,3/31/2023,PLD,Cash Div: R/D 2023-03-17 P/D 2023-03-31 - 0.074883 shares at 0.87,CDIV,,,$0.07 ,
3/30/2023,3/30/2023,4/3/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.000036,$273.94 ,($0.01),
3/30/2023,3/30/2023,4/3/2023,VHT,"Vanguard Health Care ETF
CUSIP: 92204A504
order batcher",Buy,0.00034,$235.07 ,($0.08),
3/30/2023,3/30/2023,4/3/2023,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
order batcher",Buy,0.00271,$81.18 ,($0.22),
3/30/2023,3/30/2023,4/3/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.000965,$145.02 ,($0.14),
3/30/2023,3/30/2023,4/3/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.000512,$371.07 ,($0.19),
3/29/2023,3/29/2023,3/29/2023,VHT,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.103024 shares at 0.7586,CDIV,,,$0.08 ,
3/29/2023,3/29/2023,3/29/2023,VNQ,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.279626 shares at 0.77,CDIV,,,$0.22 ,
3/29/2023,3/29/2023,3/29/2023,VOOV,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.244814 shares at 0.5604,CDIV,,,$0.14 ,
3/29/2023,3/29/2023,3/29/2023,NVDA,Cash Div: R/D 2023-03-08 P/D 2023-03-29 - 0.215195 shares at 0.04,CDIV,,,$0.01 ,
3/29/2023,3/29/2023,3/29/2023,VOO,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.126575 shares at 1.4874,CDIV,,,$0.19 ,
3/29/2023,3/29/2023,3/31/2023,VTI,"Vanguard Total Stock Market ETF
CUSIP: 922908769
order batcher",Buy,0.00015,$199.10 ,($0.03),
3/28/2023,3/28/2023,3/28/2023,VTI,Cash Div: R/D 2023-03-24 P/D 2023-03-28 - 0.034093 shares at 0.7862,CDIV,,,$0.03 ,
3/24/2023,3/24/2023,3/28/2023,VEA,"Vanguard FTSE Developed Markets ETF
CUSIP: 921943858
order batcher",Buy,0.000693,$43.25 ,($0.03),
3/24/2023,3/24/2023,3/28/2023,VXUS,"Vanguard Total International Stock ETF
CUSIP: 921909768
order batcher",Buy,0.00094,$53.14 ,($0.05),
3/23/2023,3/23/2023,3/23/2023,VXUS,Cash Div: R/D 2023-03-21 P/D 2023-03-23 - 0.453103 shares at 0.1205,CDIV,,,$0.05 ,
3/23/2023,3/23/2023,3/23/2023,VEA,Cash Div: R/D 2023-03-21 P/D 2023-03-23 - 0.167308 shares at 0.1597,CDIV,,,$0.03 ,
3/13/2023,3/13/2023,3/15/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.000213,$328.58 ,($0.07),
